epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4049,1.84446,2.05982,1.97786,0.74065,0.44988,0.47093,0.22145,1.87104,1.26073,1.96174,0.00328638,0.00328638,0.00328638
2,123.669,1.70732,1.35191,1.72374,0.8271,0.41946,0.50822,0.23206,1.91528,1.39265,2.01235,0.00661316,0.00661316,0.00661316
3,185.003,1.7289,1.35171,1.73071,0.83724,0.37736,0.45204,0.20792,1.94855,1.66019,2.13092,0.00993334,0.00993334,0.00993334
4,245.964,1.78345,1.39635,1.777,0.63436,0.40879,0.40796,0.18794,1.98241,2.10054,2.2191,0.0099703,0.0099703,0.0099703
5,306.881,1.76962,1.35836,1.78295,0.73853,0.38556,0.42691,0.18847,2.0339,1.84408,2.27727,0.0099604,0.0099604,0.0099604
6,367.873,1.76178,1.3182,1.77613,0.73927,0.32376,0.40633,0.18067,2.08447,1.77764,2.24501,0.0099505,0.0099505,0.0099505
7,428.588,1.7669,1.3195,1.77931,0.86451,0.39363,0.45418,0.20375,1.94947,1.46032,2.09389,0.0099406,0.0099406,0.0099406
8,489.36,1.73509,1.28079,1.75592,0.78944,0.36026,0.41325,0.19104,2.00502,1.61847,2.17215,0.0099307,0.0099307,0.0099307
9,550.233,1.73573,1.29276,1.76236,0.77834,0.4089,0.45044,0.20718,1.9579,1.52556,2.09597,0.0099208,0.0099208,0.0099208
10,611.53,1.70697,1.23768,1.72963,0.66831,0.42693,0.44211,0.20851,1.96714,1.46587,2.13785,0.0099109,0.0099109,0.0099109
11,672.675,1.69808,1.24818,1.7237,0.81065,0.37326,0.40759,0.1904,2.05164,1.54761,2.13912,0.009901,0.009901,0.009901
12,733.39,1.69833,1.20101,1.71474,0.7219,0.45045,0.47104,0.22491,1.87578,1.54506,2.03042,0.0098911,0.0098911,0.0098911
13,794.273,1.66344,1.18601,1.69977,0.59252,0.4812,0.51035,0.24665,1.89293,1.30486,2.02577,0.0098812,0.0098812,0.0098812
14,855.185,1.67197,1.17488,1.69684,0.55979,0.51484,0.51401,0.24084,1.86728,1.24336,2.00347,0.0098713,0.0098713,0.0098713
15,916.071,1.6513,1.14492,1.68436,0.79272,0.46299,0.52483,0.24782,1.85911,1.21028,2.00441,0.0098614,0.0098614,0.0098614
16,977.144,1.64826,1.1409,1.67453,0.79232,0.41242,0.47766,0.22911,1.9014,1.34609,2.01074,0.0098515,0.0098515,0.0098515
17,1037.85,1.63797,1.1359,1.67485,0.5513,0.46896,0.48862,0.23833,1.86415,1.3057,2.00169,0.0098416,0.0098416,0.0098416
18,1098.73,1.66365,1.1507,1.68727,0.49089,0.4628,0.50431,0.25021,1.7913,1.18048,1.9382,0.0098317,0.0098317,0.0098317
19,1160.1,1.61303,1.11915,1.66186,0.69697,0.5146,0.52732,0.25203,1.81103,1.20915,1.95251,0.0098218,0.0098218,0.0098218
20,1221.61,1.61886,1.0881,1.66791,0.82972,0.46164,0.53039,0.26331,1.80422,1.10501,1.93768,0.0098119,0.0098119,0.0098119
21,1282.57,1.61471,1.08842,1.66942,0.80318,0.43007,0.52206,0.25769,1.80874,1.1424,1.96108,0.009802,0.009802,0.009802
22,1343.34,1.60984,1.08399,1.67073,0.61234,0.52168,0.53455,0.26708,1.7786,1.17064,1.94883,0.0097921,0.0097921,0.0097921
23,1405.25,1.58893,1.06248,1.65476,0.76825,0.46602,0.53585,0.25613,1.81595,1.18663,1.97936,0.0097822,0.0097822,0.0097822
24,1466.28,1.59116,1.05411,1.63819,0.5979,0.54779,0.56209,0.26528,1.78355,1.1329,1.9099,0.0097723,0.0097723,0.0097723
25,1527.17,1.57569,1.03401,1.63185,0.77927,0.4943,0.55612,0.26727,1.83548,1.17704,1.99211,0.0097624,0.0097624,0.0097624
26,1588.21,1.56947,1.01792,1.6277,0.56172,0.4783,0.50619,0.25553,1.80884,1.13593,1.95544,0.0097525,0.0097525,0.0097525
27,1649.04,1.56376,0.9931,1.62907,0.77355,0.47953,0.52971,0.26409,1.79625,1.13596,1.92842,0.0097426,0.0097426,0.0097426
28,1709.88,1.55549,1.01246,1.62617,0.58213,0.54567,0.5258,0.26024,1.78955,1.15059,1.92584,0.0097327,0.0097327,0.0097327
29,1770.78,1.549,0.99876,1.60686,0.84554,0.45695,0.52775,0.26456,1.79693,1.0995,1.93852,0.0097228,0.0097228,0.0097228
30,1831.72,1.5531,0.99265,1.59632,0.62831,0.5199,0.54543,0.26621,1.79295,1.11607,1.92732,0.0097129,0.0097129,0.0097129
31,1892.46,1.54096,0.99389,1.61082,0.65228,0.5579,0.56362,0.27055,1.81749,1.11874,1.95611,0.009703,0.009703,0.009703
32,1954,1.5074,0.95449,1.58205,0.52474,0.4997,0.51787,0.25644,1.80387,1.15162,1.93099,0.0096931,0.0096931,0.0096931
33,2015.19,1.51137,0.95567,1.57738,0.49763,0.51332,0.51619,0.25933,1.77175,1.12239,1.95102,0.0096832,0.0096832,0.0096832
34,2076.09,1.54359,0.98618,1.61829,0.63119,0.55127,0.54221,0.27064,1.81599,1.11756,1.96998,0.0096733,0.0096733,0.0096733
35,2136.91,1.49726,0.93558,1.57325,0.65409,0.54181,0.56644,0.27718,1.81915,1.09551,1.97389,0.0096634,0.0096634,0.0096634
36,2197.86,1.51023,0.95459,1.59101,0.61236,0.54878,0.56631,0.27967,1.7636,1.11388,1.93462,0.0096535,0.0096535,0.0096535
37,2258.73,1.51211,0.94263,1.57756,0.52529,0.58788,0.57115,0.28232,1.77711,1.04784,1.90764,0.0096436,0.0096436,0.0096436
38,2319.69,1.49102,0.92856,1.56929,0.51354,0.51928,0.53728,0.26393,1.81428,1.06494,1.95134,0.0096337,0.0096337,0.0096337
39,2380.76,1.49809,0.93482,1.55433,0.69534,0.51798,0.55757,0.27443,1.78183,1.05728,1.92853,0.0096238,0.0096238,0.0096238
40,2441.59,1.47783,0.89786,1.55599,0.78027,0.53558,0.58726,0.27682,1.84423,1.08627,1.99918,0.0096139,0.0096139,0.0096139
41,2502.35,1.46869,0.8907,1.54991,0.64799,0.56261,0.58301,0.28394,1.77572,1.02139,1.92774,0.009604,0.009604,0.009604
42,2563.49,1.46597,0.8906,1.54384,0.57327,0.55906,0.5727,0.2806,1.7745,1.06342,1.93687,0.0095941,0.0095941,0.0095941
43,2624.4,1.4527,0.8697,1.54044,0.72062,0.5172,0.56549,0.27598,1.77925,1.05363,1.93925,0.0095842,0.0095842,0.0095842
44,2685.18,1.44576,0.86952,1.53026,0.61015,0.5283,0.56992,0.28297,1.78737,1.06041,1.92427,0.0095743,0.0095743,0.0095743
45,2746.15,1.46085,0.88836,1.53548,0.56167,0.56389,0.55767,0.27602,1.78621,1.05082,1.95125,0.0095644,0.0095644,0.0095644
46,2807.1,1.43364,0.86581,1.52928,0.59856,0.5445,0.54156,0.26986,1.76654,1.02282,1.90916,0.0095545,0.0095545,0.0095545
47,2868,1.43943,0.87777,1.53035,0.68848,0.51969,0.5521,0.27498,1.79229,1.0446,1.95777,0.0095446,0.0095446,0.0095446
48,2928.88,1.4361,0.8656,1.52118,0.69362,0.55398,0.57603,0.28202,1.80089,1.02022,1.95129,0.0095347,0.0095347,0.0095347
49,2989.81,1.42921,0.85494,1.52319,0.5554,0.55986,0.57372,0.28259,1.78719,1.04143,1.95104,0.0095248,0.0095248,0.0095248
50,3050.82,1.42329,0.84526,1.50176,0.6898,0.56483,0.58809,0.28583,1.82328,1.04768,1.98585,0.0095149,0.0095149,0.0095149
51,3111.95,1.42556,0.8421,1.50095,0.5411,0.58693,0.56355,0.27628,1.78233,1.01957,1.94992,0.009505,0.009505,0.009505
52,3172.93,1.4016,0.81799,1.49798,0.68969,0.56424,0.5945,0.29333,1.76525,1.03403,1.93414,0.0094951,0.0094951,0.0094951
53,3233.94,1.42211,0.83014,1.50705,0.59628,0.5639,0.58619,0.28476,1.80043,1.01329,1.95804,0.0094852,0.0094852,0.0094852
54,3294.96,1.3998,0.82415,1.51196,0.69806,0.56449,0.58802,0.28594,1.7705,0.9955,1.94827,0.0094753,0.0094753,0.0094753
55,3355.82,1.37713,0.80674,1.46953,0.60689,0.5614,0.58508,0.28621,1.79212,1.00225,1.98145,0.0094654,0.0094654,0.0094654
56,3417.18,1.3719,0.79147,1.48641,0.56359,0.5761,0.59215,0.28863,1.79594,1.01652,1.99154,0.0094555,0.0094555,0.0094555
57,3478.09,1.37836,0.79577,1.4678,0.60275,0.5646,0.58644,0.27902,1.78787,1.02904,1.95257,0.0094456,0.0094456,0.0094456
58,3539.48,1.37472,0.79751,1.48462,0.66057,0.55285,0.57417,0.28139,1.82027,1.01307,1.99482,0.0094357,0.0094357,0.0094357
59,3600.38,1.36258,0.78744,1.47749,0.61676,0.56655,0.57555,0.27969,1.81231,1.0629,1.98099,0.0094258,0.0094258,0.0094258
60,3661.34,1.35488,0.78914,1.4669,0.59732,0.55244,0.56671,0.28163,1.79156,1.00651,1.96924,0.0094159,0.0094159,0.0094159
61,3722.44,1.3472,0.77149,1.46028,0.55794,0.57868,0.56539,0.27108,1.80955,1.04168,2.01757,0.009406,0.009406,0.009406
62,3783.48,1.32773,0.76376,1.45111,0.76701,0.52671,0.59419,0.29105,1.80187,0.98931,1.98832,0.0093961,0.0093961,0.0093961
63,3844.42,1.33541,0.75024,1.44455,0.67838,0.55068,0.57989,0.28476,1.79175,1.02588,2.00066,0.0093862,0.0093862,0.0093862
64,3905.33,1.33319,0.77142,1.44828,0.61765,0.54396,0.55931,0.26983,1.83784,1.0553,2.0141,0.0093763,0.0093763,0.0093763
65,3966.4,1.32703,0.75544,1.44933,0.62928,0.57266,0.57724,0.2794,1.83632,1.02016,2.04478,0.0093664,0.0093664,0.0093664
66,4027.39,1.32634,0.73887,1.44418,0.66951,0.53487,0.56981,0.27986,1.81897,1.01035,2.01206,0.0093565,0.0093565,0.0093565
67,4088.49,1.31814,0.75247,1.43367,0.5438,0.51576,0.51454,0.26095,1.83208,1.06955,2.03721,0.0093466,0.0093466,0.0093466
68,4150.06,1.29826,0.73622,1.41616,0.60993,0.52083,0.55587,0.27625,1.82427,1.04662,2.02861,0.0093367,0.0093367,0.0093367
69,4211.23,1.29677,0.73226,1.42211,0.73554,0.53001,0.58822,0.28457,1.8164,1.00555,2.02141,0.0093268,0.0093268,0.0093268
70,4272.16,1.28782,0.71614,1.41619,0.66525,0.51427,0.53273,0.27073,1.83839,1.04371,2.04333,0.0093169,0.0093169,0.0093169
71,4333.13,1.29148,0.7173,1.40777,0.62184,0.53183,0.56425,0.2783,1.81404,1.0326,2.02921,0.009307,0.009307,0.009307
72,4394.11,1.29059,0.72941,1.42655,0.6849,0.56506,0.57911,0.28256,1.82596,0.95951,2.01686,0.0092971,0.0092971,0.0092971
