epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1452,1.83848,2.24523,1.93219,0.71376,0.45246,0.4466,0.21,1.89285,1.38976,1.96978,0.00328638,0.00328638,0.00328638
2,86.5542,1.70685,1.39955,1.67614,0.62553,0.46195,0.49095,0.23326,1.88511,1.60656,1.94637,0.00661316,0.00661316,0.00661316
3,125.753,1.72166,1.37963,1.67568,0.54821,0.46989,0.45516,0.21456,1.93941,1.59824,2.03265,0.00993334,0.00993334,0.00993334
4,166.136,1.78624,1.41946,1.72103,0.5396,0.38686,0.38278,0.16492,2.10421,2.08845,2.20752,0.0099703,0.0099703,0.0099703
5,205.609,1.77811,1.37472,1.71525,0.70723,0.38074,0.4326,0.19905,1.96083,1.59567,2.10896,0.0099604,0.0099604,0.0099604
6,245.389,1.75725,1.32773,1.72606,0.68207,0.38979,0.4046,0.18659,2.01507,1.66953,2.12248,0.0099505,0.0099505,0.0099505
7,284.808,1.77028,1.32692,1.71581,0.81175,0.38778,0.44852,0.20916,1.96557,1.53854,2.07496,0.0099406,0.0099406,0.0099406
8,324.439,1.73946,1.30005,1.70177,0.79461,0.35971,0.43246,0.1987,1.96651,1.60886,2.00952,0.0099307,0.0099307,0.0099307
9,363.682,1.74256,1.28886,1.70279,0.77962,0.38616,0.42715,0.19439,1.98115,1.71018,2.08577,0.0099208,0.0099208,0.0099208
10,402.943,1.70587,1.24225,1.67165,0.57857,0.48286,0.48089,0.22357,1.89844,1.39358,1.97042,0.0099109,0.0099109,0.0099109
11,442.344,1.69593,1.24557,1.66329,0.75595,0.41802,0.46691,0.21077,1.97474,1.42845,2.01542,0.009901,0.009901,0.009901
12,481.822,1.70266,1.22733,1.66021,0.65373,0.44822,0.4751,0.21831,1.93097,1.41734,2.01727,0.0098911,0.0098911,0.0098911
13,521.83,1.66623,1.18819,1.64827,0.58733,0.49805,0.49063,0.22525,1.92485,1.35649,1.98532,0.0098812,0.0098812,0.0098812
14,562.076,1.67798,1.16948,1.65449,0.8315,0.43879,0.51291,0.24982,1.85353,1.25749,1.94002,0.0098713,0.0098713,0.0098713
15,602.333,1.66585,1.14412,1.64401,0.6676,0.51061,0.52584,0.24816,1.85552,1.17914,1.9419,0.0098614,0.0098614,0.0098614
16,642.097,1.65229,1.14711,1.62198,0.58747,0.47559,0.49334,0.23576,1.90084,1.26078,1.96852,0.0098515,0.0098515,0.0098515
17,681.585,1.6333,1.13231,1.62386,0.66426,0.42899,0.4931,0.23826,1.85039,1.24805,1.91217,0.0098416,0.0098416,0.0098416
18,721.022,1.65896,1.15981,1.63294,0.85596,0.40654,0.475,0.23133,1.83612,1.27128,1.92208,0.0098317,0.0098317,0.0098317
19,760.504,1.6183,1.13044,1.61194,0.57762,0.4928,0.49966,0.2459,1.85979,1.27137,1.92882,0.0098218,0.0098218,0.0098218
20,799.926,1.62279,1.10875,1.61267,0.51262,0.4977,0.5232,0.25296,1.82108,1.16754,1.87272,0.0098119,0.0098119,0.0098119
21,839.734,1.62818,1.09835,1.63233,0.62132,0.50909,0.53513,0.25987,1.78756,1.15901,1.8659,0.009802,0.009802,0.009802
22,879.243,1.61331,1.09678,1.60994,0.83791,0.47166,0.54432,0.2611,1.78742,1.16223,1.86649,0.0097921,0.0097921,0.0097921
23,918.746,1.59701,1.07393,1.61248,0.55248,0.51237,0.51872,0.247,1.87545,1.23695,1.93911,0.0097822,0.0097822,0.0097822
24,959.176,1.59665,1.06381,1.58679,0.66485,0.52003,0.55429,0.25844,1.84741,1.16692,1.91558,0.0097723,0.0097723,0.0097723
25,998.841,1.58838,1.04282,1.59186,0.70977,0.51038,0.55388,0.25872,1.83672,1.20459,1.9148,0.0097624,0.0097624,0.0097624
26,1038.45,1.56177,1.02245,1.57393,0.72857,0.48159,0.5403,0.25781,1.82814,1.13838,1.91819,0.0097525,0.0097525,0.0097525
27,1078.11,1.56963,1.00218,1.57568,0.52127,0.5258,0.55212,0.26276,1.82185,1.10209,1.90097,0.0097426,0.0097426,0.0097426
28,1117.59,1.5563,1.0194,1.57484,0.66775,0.51328,0.53116,0.24477,1.89814,1.17185,1.97443,0.0097327,0.0097327,0.0097327
29,1157.06,1.55035,1.00403,1.5654,0.62361,0.50428,0.53941,0.26012,1.81789,1.09627,1.90995,0.0097228,0.0097228,0.0097228
30,1196.83,1.55559,1.00673,1.56685,0.55033,0.52469,0.55072,0.26183,1.82701,1.12528,1.92371,0.0097129,0.0097129,0.0097129
31,1236.97,1.54942,1.01893,1.56818,0.58904,0.58682,0.59977,0.28865,1.80744,1.09308,1.89132,0.009703,0.009703,0.009703
32,1277.24,1.51225,0.9785,1.5347,0.54828,0.51526,0.52844,0.25867,1.85683,1.13819,1.94017,0.0096931,0.0096931,0.0096931
33,1316.83,1.51567,0.96869,1.52668,0.68172,0.5084,0.54172,0.26789,1.81851,1.10881,1.91041,0.0096832,0.0096832,0.0096832
34,1356.44,1.55292,1.00531,1.57372,0.51062,0.50409,0.52444,0.26071,1.79424,1.13751,1.88081,0.0096733,0.0096733,0.0096733
35,1396,1.50336,0.95032,1.53563,0.63947,0.55675,0.56735,0.2762,1.82013,1.09773,1.9189,0.0096634,0.0096634,0.0096634
36,1435.47,1.50993,0.97629,1.54062,0.6591,0.52119,0.57387,0.27953,1.79744,1.10485,1.90235,0.0096535,0.0096535,0.0096535
37,1474.96,1.51588,0.95173,1.5317,0.66389,0.52921,0.54405,0.26317,1.84862,1.09355,1.93702,0.0096436,0.0096436,0.0096436
38,1514.88,1.50418,0.93534,1.53243,0.80735,0.5022,0.54964,0.2672,1.82215,1.08932,1.92217,0.0096337,0.0096337,0.0096337
39,1554.44,1.50588,0.95082,1.51856,0.60587,0.53002,0.56398,0.28547,1.7788,1.0713,1.8591,0.0096238,0.0096238,0.0096238
40,1594.02,1.48004,0.91491,1.51153,0.61809,0.57151,0.57061,0.27925,1.76492,1.06741,1.85416,0.0096139,0.0096139,0.0096139
41,1633.4,1.48395,0.91065,1.51962,0.7571,0.52736,0.55551,0.26746,1.80562,1.08374,1.89922,0.009604,0.009604,0.009604
42,1672.9,1.47957,0.91542,1.51105,0.6126,0.55765,0.55552,0.26844,1.79477,1.11978,1.899,0.0095941,0.0095941,0.0095941
43,1712.93,1.4629,0.89258,1.50385,0.57338,0.5704,0.56981,0.27374,1.82781,1.07735,1.91777,0.0095842,0.0095842,0.0095842
44,1752.81,1.45213,0.89338,1.49647,0.66797,0.54983,0.58379,0.27986,1.81998,1.07693,1.93831,0.0095743,0.0095743,0.0095743
45,1793.34,1.46987,0.90988,1.50639,0.55099,0.5381,0.56811,0.27688,1.82009,1.05721,1.93007,0.0095644,0.0095644,0.0095644
46,1833.22,1.44501,0.86871,1.50104,0.68328,0.52573,0.56513,0.2604,1.86687,1.12801,1.9894,0.0095545,0.0095545,0.0095545
47,1872.71,1.44055,0.88357,1.49415,0.67122,0.5507,0.58252,0.26801,1.83601,1.0439,1.92831,0.0095446,0.0095446,0.0095446
48,1912.35,1.44082,0.89063,1.48368,0.57134,0.56784,0.57021,0.27198,1.80682,1.10546,1.9123,0.0095347,0.0095347,0.0095347
49,1952.1,1.43791,0.87283,1.49114,0.67248,0.54435,0.58551,0.27857,1.79897,1.04333,1.92309,0.0095248,0.0095248,0.0095248
50,1992.59,1.43193,0.86016,1.47567,0.68061,0.53903,0.56094,0.27087,1.83685,1.07432,1.95009,0.0095149,0.0095149,0.0095149
51,2032.22,1.43607,0.8645,1.46808,0.70122,0.57396,0.60043,0.2896,1.80146,1.04913,1.91182,0.009505,0.009505,0.009505
52,2072.86,1.40808,0.83882,1.46257,0.59593,0.55328,0.58787,0.28678,1.82781,1.05223,1.93421,0.0094951,0.0094951,0.0094951
53,2112.33,1.42622,0.85078,1.47569,0.58384,0.5847,0.57746,0.27563,1.8156,1.06403,1.937,0.0094852,0.0094852,0.0094852
54,2152.21,1.39916,0.84233,1.47238,0.64312,0.5224,0.58249,0.28297,1.80343,1.04062,1.93334,0.0094753,0.0094753,0.0094753
55,2191.91,1.38696,0.8246,1.43873,0.56978,0.57309,0.57511,0.27708,1.84208,1.06807,1.98123,0.0094654,0.0094654,0.0094654
56,2231.28,1.38634,0.81416,1.45406,0.56727,0.58275,0.594,0.28879,1.80925,1.02351,1.93524,0.0094555,0.0094555,0.0094555
57,2270.86,1.38344,0.81203,1.42813,0.5537,0.58218,0.59315,0.28821,1.80336,1.02804,1.92771,0.0094456,0.0094456,0.0094456
58,2311.75,1.37969,0.80843,1.44694,0.53371,0.59843,0.58721,0.28341,1.82715,1.02834,1.95503,0.0094357,0.0094357,0.0094357
59,2351.35,1.36913,0.80938,1.44881,0.56126,0.56021,0.57255,0.28124,1.79724,1.02456,1.93431,0.0094258,0.0094258,0.0094258
60,2390.97,1.36978,0.80493,1.43676,0.682,0.59178,0.60724,0.29584,1.7898,0.99571,1.94538,0.0094159,0.0094159,0.0094159
61,2431.6,1.3595,0.79013,1.43116,0.67471,0.54767,0.56111,0.26798,1.8231,1.07874,1.94661,0.009406,0.009406,0.009406
62,2472.16,1.34608,0.78609,1.4202,0.65889,0.55882,0.56052,0.27542,1.82242,1.03473,1.97258,0.0093961,0.0093961,0.0093961
63,2512.06,1.33769,0.76687,1.40434,0.53201,0.54193,0.54639,0.2684,1.83866,1.06023,1.95548,0.0093862,0.0093862,0.0093862
64,2551.6,1.34393,0.78265,1.42218,0.60855,0.59868,0.58808,0.28697,1.83051,1.01213,1.96523,0.0093763,0.0093763,0.0093763
65,2591.4,1.343,0.7701,1.427,0.58565,0.55514,0.56812,0.27827,1.83333,1.05839,1.98117,0.0093664,0.0093664,0.0093664
66,2632.31,1.33255,0.76415,1.41313,0.67464,0.51015,0.56006,0.27299,1.82384,1.06631,1.96304,0.0093565,0.0093565,0.0093565
67,2672.41,1.33272,0.76788,1.40043,0.59255,0.54172,0.56446,0.27479,1.8388,1.06119,1.98964,0.0093466,0.0093466,0.0093466
68,2711.87,1.30726,0.75855,1.38682,0.6112,0.495,0.54522,0.27233,1.83166,1.05798,1.95828,0.0093367,0.0093367,0.0093367
69,2751.48,1.31603,0.75858,1.39452,0.69423,0.55001,0.57272,0.28066,1.81048,1.03212,1.93268,0.0093268,0.0093268,0.0093268
70,2790.73,1.29483,0.73383,1.38622,0.58713,0.53213,0.56515,0.27675,1.81563,1.04857,1.95003,0.0093169,0.0093169,0.0093169
71,2830.41,1.30943,0.73182,1.38044,0.57542,0.58319,0.5816,0.27882,1.81842,1.03848,1.94924,0.009307,0.009307,0.009307
72,2869.66,1.30325,0.75324,1.40063,0.60275,0.56004,0.58719,0.28676,1.83441,1.0422,1.99395,0.0092971,0.0092971,0.0092971
73,2908.89,1.30528,0.74651,1.37879,0.61475,0.60573,0.57543,0.28227,1.82759,1.05504,1.95957,0.0092872,0.0092872,0.0092872
74,2948.18,1.28713,0.72956,1.38767,0.58417,0.5458,0.56092,0.27808,1.83226,1.03489,1.97152,0.0092773,0.0092773,0.0092773
75,2987.87,1.29227,0.73877,1.37546,0.56123,0.58124,0.57888,0.28126,1.84889,1.05248,2.00622,0.0092674,0.0092674,0.0092674
76,3028.02,1.28571,0.71813,1.37094,0.66217,0.53081,0.55268,0.26873,1.85951,1.05446,2.02206,0.0092575,0.0092575,0.0092575
77,3067.81,1.27985,0.7225,1.36852,0.58229,0.55858,0.57757,0.28122,1.82908,1.02154,1.97442,0.0092476,0.0092476,0.0092476
78,3107.44,1.27205,0.72049,1.3599,0.56449,0.59564,0.56697,0.28221,1.82665,1.03081,1.98461,0.0092377,0.0092377,0.0092377
79,3146.84,1.25866,0.70506,1.35315,0.58085,0.62542,0.59548,0.28663,1.85889,1.05232,2.01226,0.0092278,0.0092278,0.0092278
80,3186.35,1.25744,0.70376,1.34391,0.61026,0.55221,0.56776,0.27578,1.84322,1.05793,2.00246,0.0092179,0.0092179,0.0092179
