epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.271,1.85186,2.39743,2.03118,0.73437,0.34095,0.43376,0.20547,1.89522,1.57093,2.05786,0.00328638,0.00328638,0.00328638
2,182.618,1.73396,1.49322,1.76632,0.63245,0.47672,0.46906,0.21932,1.9464,1.53446,2.10475,0.00661316,0.00661316,0.00661316
3,260.378,1.76151,1.46456,1.769,0.54353,0.42698,0.3771,0.15233,2.14408,2.48191,2.38433,0.00993334,0.00993334,0.00993334
4,338.279,1.7971,1.48971,1.8099,0.67826,0.33347,0.3557,0.16279,2.09293,2.79658,2.29027,0.0099703,0.0099703,0.0099703
5,415.972,1.79718,1.46214,1.82114,0.68478,0.40334,0.41192,0.19169,1.98526,1.76067,2.17596,0.0099604,0.0099604,0.0099604
6,493.561,1.77097,1.38799,1.80968,0.76042,0.36933,0.41011,0.19299,1.98693,1.77134,2.22126,0.0099505,0.0099505,0.0099505
7,574.321,1.77041,1.41489,1.81466,0.79349,0.39814,0.44088,0.20406,1.9619,1.63159,2.18437,0.0099406,0.0099406,0.0099406
8,651.956,1.74647,1.363,1.79539,0.63115,0.46266,0.46713,0.21046,1.98303,1.56165,2.14535,0.0099307,0.0099307,0.0099307
9,730.442,1.74674,1.34335,1.80063,0.83638,0.38031,0.44091,0.20424,1.95019,1.79383,2.12159,0.0099208,0.0099208,0.0099208
10,809.543,1.71501,1.31537,1.77395,0.60166,0.47955,0.50192,0.23369,1.93276,1.41149,2.11957,0.0099109,0.0099109,0.0099109
11,886.692,1.70348,1.31528,1.76277,0.71964,0.43552,0.46213,0.21416,1.92597,1.42103,2.09711,0.009901,0.009901,0.009901
12,964.324,1.71197,1.29113,1.76367,0.77964,0.3782,0.43051,0.20226,1.94166,1.7282,2.13854,0.0098911,0.0098911,0.0098911
13,1042.65,1.67689,1.26202,1.75138,0.83947,0.43141,0.48744,0.23163,1.86507,1.38068,2.0476,0.0098812,0.0098812,0.0098812
14,1119.88,1.67717,1.23858,1.7443,0.53526,0.44019,0.45834,0.21031,1.93191,1.47329,2.12792,0.0098713,0.0098713,0.0098713
15,1197.37,1.66409,1.21364,1.73371,0.77422,0.45525,0.50784,0.24629,1.87319,1.3157,2.05924,0.0098614,0.0098614,0.0098614
16,1275.73,1.64638,1.20101,1.71129,0.68705,0.49139,0.53021,0.25277,1.84876,1.27669,2.03284,0.0098515,0.0098515,0.0098515
17,1354.35,1.63716,1.1785,1.7151,0.64265,0.43479,0.47507,0.22309,1.90856,1.42241,2.10758,0.0098416,0.0098416,0.0098416
18,1431.98,1.66545,1.19887,1.72744,0.77067,0.42397,0.50114,0.23678,1.88113,1.33311,2.05745,0.0098317,0.0098317,0.0098317
19,1509.63,1.61807,1.17567,1.70155,0.67009,0.46954,0.52378,0.2497,1.85546,1.27166,2.04667,0.0098218,0.0098218,0.0098218
20,1586.77,1.6283,1.15287,1.71436,0.75567,0.42667,0.49621,0.24327,1.82617,1.29545,2.04048,0.0098119,0.0098119,0.0098119
21,1665.15,1.61513,1.14402,1.71544,0.88025,0.42366,0.51141,0.24733,1.83401,1.27024,2.03646,0.009802,0.009802,0.009802
22,1743.2,1.61794,1.13388,1.71822,0.75363,0.46767,0.52669,0.25159,1.8086,1.23897,2.00333,0.0097921,0.0097921,0.0097921
23,1820.89,1.59514,1.11326,1.70051,0.57399,0.48905,0.51704,0.24715,1.84509,1.20699,2.05219,0.0097822,0.0097822,0.0097822
24,1899.3,1.59866,1.09437,1.68721,0.49967,0.50593,0.52857,0.25914,1.8331,1.26114,2.03333,0.0097723,0.0097723,0.0097723
25,1976.3,1.58145,1.08116,1.67968,0.66618,0.44642,0.4771,0.22298,1.90276,1.3166,2.10292,0.0097624,0.0097624,0.0097624
26,2052.3,1.57006,1.06511,1.6692,0.55636,0.50782,0.54393,0.2642,1.81691,1.21646,2.00556,0.0097525,0.0097525,0.0097525
27,2129.44,1.56695,1.05044,1.66555,0.62945,0.46884,0.49698,0.23739,1.88442,1.24227,2.07579,0.0097426,0.0097426,0.0097426
28,2207.08,1.55584,1.06341,1.66203,0.76531,0.51949,0.55356,0.26623,1.83238,1.19506,2.01747,0.0097327,0.0097327,0.0097327
29,2285.26,1.55508,1.04722,1.64927,0.79295,0.45136,0.50802,0.24795,1.83545,1.19625,2.06022,0.0097228,0.0097228,0.0097228
30,2362.8,1.55198,1.03821,1.65608,0.68253,0.50816,0.52258,0.25207,1.89994,1.31562,2.1321,0.0097129,0.0097129,0.0097129
31,2440.07,1.5473,1.04603,1.65695,0.60656,0.55022,0.57387,0.27432,1.83334,1.17752,2.04025,0.009703,0.009703,0.009703
32,2517.87,1.5057,1.00532,1.61997,0.63504,0.49799,0.52351,0.2481,1.84901,1.20743,2.07745,0.0096931,0.0096931,0.0096931
33,2595.6,1.51234,0.98946,1.62087,0.73461,0.45386,0.51532,0.24571,1.85483,1.19384,2.08421,0.0096832,0.0096832,0.0096832
34,2673.33,1.5422,1.03509,1.66629,0.50407,0.5377,0.5362,0.26025,1.8406,1.1899,2.04967,0.0096733,0.0096733,0.0096733
35,2751.19,1.49548,0.98194,1.6121,0.58026,0.4975,0.51865,0.25983,1.84586,1.19825,2.03576,0.0096634,0.0096634,0.0096634
36,2828.74,1.50488,0.99629,1.61951,0.70553,0.51942,0.57436,0.2821,1.78258,1.12508,1.97564,0.0096535,0.0096535,0.0096535
37,2906.82,1.51603,0.98054,1.61808,0.56592,0.53222,0.55923,0.27786,1.79874,1.12598,2.00539,0.0096436,0.0096436,0.0096436
38,2984.22,1.49401,0.97436,1.61572,0.71362,0.54356,0.58259,0.27925,1.82336,1.10023,2.01038,0.0096337,0.0096337,0.0096337
39,3062.21,1.50242,0.97397,1.60284,0.67814,0.53948,0.55993,0.27388,1.82249,1.18433,2.01922,0.0096238,0.0096238,0.0096238
40,3140.23,1.47623,0.93928,1.59927,0.69895,0.51135,0.5648,0.272,1.81507,1.12666,2.01543,0.0096139,0.0096139,0.0096139
41,3216.94,1.47487,0.93373,1.59241,0.76549,0.50715,0.55153,0.2665,1.8239,1.16576,2.05573,0.009604,0.009604,0.009604
42,3293.14,1.46925,0.93058,1.58643,0.56292,0.51438,0.55946,0.27411,1.79488,1.1204,2.01598,0.0095941,0.0095941,0.0095941
43,3369.12,1.45589,0.90571,1.57703,0.52364,0.53943,0.55635,0.2738,1.83422,1.14456,2.02994,0.0095842,0.0095842,0.0095842
44,3444.34,1.44182,0.90477,1.57328,0.70631,0.54492,0.58106,0.28195,1.84569,1.10692,2.05125,0.0095743,0.0095743,0.0095743
45,3519.87,1.45457,0.91024,1.56635,0.6861,0.53151,0.57165,0.28278,1.80924,1.08405,2.01754,0.0095644,0.0095644,0.0095644
46,3594.93,1.43441,0.89231,1.56789,0.6186,0.51885,0.573,0.27966,1.8095,1.13408,2.0282,0.0095545,0.0095545,0.0095545
47,3670.18,1.43158,0.9015,1.57208,0.6269,0.51251,0.56555,0.27382,1.84297,1.1256,2.07713,0.0095446,0.0095446,0.0095446
48,3746.94,1.42917,0.90056,1.56958,0.575,0.54802,0.56471,0.27186,1.82861,1.13646,2.058,0.0095347,0.0095347,0.0095347
49,3822.66,1.42836,0.88706,1.56595,0.68065,0.55274,0.57783,0.28347,1.80599,1.0981,2.02869,0.0095248,0.0095248,0.0095248
50,3899.5,1.42375,0.87009,1.54229,0.64795,0.54074,0.5782,0.27846,1.8142,1.11372,2.04996,0.0095149,0.0095149,0.0095149
51,3975.04,1.42246,0.87071,1.53586,0.65059,0.50949,0.5421,0.26114,1.82907,1.14385,2.05842,0.009505,0.009505,0.009505
52,4051.75,1.39857,0.84796,1.53337,0.66739,0.52784,0.57464,0.28017,1.8295,1.11652,2.04419,0.0094951,0.0094951,0.0094951
53,4126.85,1.4079,0.86635,1.53364,0.52854,0.54389,0.55056,0.26995,1.81547,1.12659,2.0233,0.0094852,0.0094852,0.0094852
54,4202.55,1.39173,0.84126,1.53142,0.5504,0.56879,0.58138,0.27785,1.82889,1.09249,2.05463,0.0094753,0.0094753,0.0094753
55,4277.78,1.36654,0.8323,1.49985,0.77184,0.51358,0.58652,0.2823,1.80522,1.10567,2.04064,0.0094654,0.0094654,0.0094654
56,4352.84,1.37272,0.81684,1.5264,0.67269,0.54273,0.56068,0.28064,1.82825,1.13982,2.07893,0.0094555,0.0094555,0.0094555
57,4427.54,1.36252,0.81143,1.49241,0.59705,0.52887,0.55576,0.27539,1.82175,1.10694,2.04985,0.0094456,0.0094456,0.0094456
58,4502.37,1.36702,0.82294,1.5133,0.55968,0.55334,0.54339,0.26754,1.82222,1.11689,2.06229,0.0094357,0.0094357,0.0094357
59,4576.91,1.35753,0.81283,1.51137,0.56025,0.53477,0.55225,0.27057,1.83824,1.09862,2.09959,0.0094258,0.0094258,0.0094258
60,4652,1.34354,0.81066,1.49901,0.58608,0.5502,0.57078,0.27564,1.83969,1.11329,2.12097,0.0094159,0.0094159,0.0094159
61,4727.19,1.34179,0.79707,1.49158,0.70711,0.5336,0.56729,0.27839,1.84375,1.08489,2.08956,0.009406,0.009406,0.009406
62,4802.24,1.31854,0.78255,1.47267,0.56448,0.56672,0.55504,0.27348,1.83115,1.11325,2.07935,0.0093961,0.0093961,0.0093961
63,4877.67,1.32417,0.76736,1.47216,0.72035,0.51614,0.55607,0.26851,1.86313,1.13155,2.13639,0.0093862,0.0093862,0.0093862
