epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2483,1.84404,3.79494,1.81346,0.0279,0.25751,0.17516,0.08635,1.8381,3.59776,1.81168,0.00328638,0.00328638,0.00328638
2,44.3343,1.89506,2.25398,1.77797,0.77602,0.3234,0.3741,0.17394,2.00059,1.9498,2.0872,0.00661316,0.00661316,0.00661316
3,58.2057,1.8488,1.82748,1.7533,0.67068,0.32523,0.33287,0.1421,2.12201,2.1398,2.1943,0.00993334,0.00993334,0.00993334
4,73.0693,1.87488,1.78379,1.78317,0.55867,0.34616,0.31051,0.13061,2.14244,2.25869,2.21623,0.0099703,0.0099703,0.0099703
5,87.2549,1.85574,1.7245,1.7794,0.55565,0.35581,0.3106,0.13307,2.06369,2.48658,2.19219,0.0099604,0.0099604,0.0099604
6,100.912,1.8153,1.67552,1.76898,0.72144,0.37525,0.40054,0.17503,2.05091,1.79226,2.19863,0.0099505,0.0099505,0.0099505
7,115.114,1.81769,1.63688,1.76223,0.6374,0.38671,0.40986,0.18877,1.98189,1.67589,2.10745,0.0099406,0.0099406,0.0099406
8,128.81,1.80244,1.60385,1.7577,0.62742,0.41274,0.42286,0.19354,1.94067,1.60713,2.08793,0.0099307,0.0099307,0.0099307
9,143.177,1.79895,1.58214,1.74631,0.75486,0.37735,0.44238,0.19414,1.97215,1.81558,2.07457,0.0099208,0.0099208,0.0099208
10,157.679,1.76035,1.5448,1.71501,0.5521,0.36997,0.42959,0.19098,1.9704,1.60636,2.04884,0.0099109,0.0099109,0.0099109
11,171.635,1.755,1.52148,1.71398,0.6751,0.44815,0.47615,0.21619,1.92427,1.45515,2.02541,0.009901,0.009901,0.009901
12,185.69,1.74825,1.48965,1.70049,0.61685,0.45899,0.47775,0.21701,1.89135,1.50355,2.00711,0.0098911,0.0098911,0.0098911
13,200.923,1.71949,1.47119,1.69123,0.56599,0.44889,0.46455,0.21745,1.8946,1.50694,1.9936,0.0098812,0.0098812,0.0098812
14,214.725,1.74417,1.44799,1.70269,0.59693,0.46965,0.49259,0.22694,1.8944,1.44097,2.01668,0.0098713,0.0098713,0.0098713
15,229.673,1.70485,1.41229,1.67498,0.65018,0.4413,0.4679,0.21733,1.87693,1.40594,2.00302,0.0098614,0.0098614,0.0098614
16,243.369,1.69781,1.40879,1.65937,0.59563,0.46701,0.49329,0.22911,1.87049,1.40063,1.95477,0.0098515,0.0098515,0.0098515
17,258.138,1.68838,1.39157,1.66611,0.69081,0.44172,0.47192,0.21837,1.93475,1.46,2.01802,0.0098416,0.0098416,0.0098416
18,273.195,1.72267,1.41123,1.68508,0.71223,0.43529,0.4772,0.2359,1.83091,1.37507,1.95463,0.0098317,0.0098317,0.0098317
