epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.851,1.86685,2.29498,1.94664,0.64676,0.41921,0.44206,0.20756,1.85817,1.40486,1.93129,0.00328638,0.00328638,0.00328638
2,51.8789,1.7276,1.39163,1.67298,0.48679,0.48285,0.47188,0.21793,1.89724,1.53171,1.9077,0.00661316,0.00661316,0.00661316
3,74.1422,1.7292,1.38319,1.65175,0.533,0.47881,0.46923,0.21764,1.88873,1.75221,1.89876,0.00993334,0.00993334,0.00993334
4,95.51,1.78614,1.39087,1.69391,0.78257,0.38647,0.41703,0.18974,1.99608,1.79579,2.06492,0.0099703,0.0099703,0.0099703
5,117.007,1.77736,1.37806,1.6789,0.65669,0.36824,0.41319,0.193,1.98903,1.62266,2.07192,0.0099604,0.0099604,0.0099604
6,138.345,1.75128,1.34062,1.67653,0.4683,0.45841,0.44682,0.21162,1.90545,1.4583,1.97533,0.0099505,0.0099505,0.0099505
7,160.088,1.76084,1.33758,1.68068,0.77742,0.376,0.43842,0.19763,1.97587,1.6027,1.96999,0.0099406,0.0099406,0.0099406
8,181.416,1.7447,1.30989,1.67433,0.74688,0.43232,0.47852,0.22295,1.92967,1.4759,1.97759,0.0099307,0.0099307,0.0099307
9,203.321,1.74368,1.29506,1.67571,0.81848,0.43836,0.48359,0.22761,1.8689,1.4257,1.90061,0.0099208,0.0099208,0.0099208
10,225.137,1.69932,1.26435,1.63461,0.82905,0.40966,0.47531,0.22405,1.9161,1.35109,1.95323,0.0099109,0.0099109,0.0099109
11,247.294,1.71496,1.27647,1.65586,0.75181,0.42293,0.4794,0.22063,1.917,1.38713,1.92929,0.009901,0.009901,0.009901
12,270.116,1.70918,1.24725,1.64472,0.6692,0.46177,0.48479,0.23419,1.85464,1.43124,1.90098,0.0098911,0.0098911,0.0098911
13,292.397,1.67363,1.22949,1.62636,0.70106,0.45782,0.50601,0.23598,1.89754,1.31367,1.92324,0.0098812,0.0098812,0.0098812
14,314.362,1.67659,1.20914,1.6182,0.60364,0.5074,0.51084,0.24042,1.89035,1.29967,1.9429,0.0098713,0.0098713,0.0098713
15,336.335,1.66547,1.1821,1.62152,0.75533,0.49685,0.53465,0.25448,1.79282,1.23343,1.84604,0.0098614,0.0098614,0.0098614
16,358.222,1.64492,1.16492,1.58941,0.80395,0.4259,0.46887,0.22259,1.88978,1.29291,1.9322,0.0098515,0.0098515,0.0098515
17,380.153,1.6366,1.14699,1.59931,0.77979,0.41993,0.51364,0.24217,1.84554,1.25345,1.89246,0.0098416,0.0098416,0.0098416
18,401.594,1.65911,1.17079,1.6147,0.82996,0.43394,0.48141,0.23157,1.82825,1.22842,1.87008,0.0098317,0.0098317,0.0098317
19,423.253,1.62919,1.15825,1.59259,0.56792,0.48818,0.50575,0.243,1.8274,1.22772,1.90277,0.0098218,0.0098218,0.0098218
20,444.913,1.6316,1.13194,1.59442,0.87831,0.4317,0.50893,0.24686,1.82022,1.16723,1.87645,0.0098119,0.0098119,0.0098119
21,466.403,1.62549,1.12671,1.60968,0.67499,0.46234,0.49951,0.24685,1.84306,1.28469,1.87574,0.009802,0.009802,0.009802
22,488.264,1.62304,1.12369,1.59692,0.66738,0.52421,0.5461,0.2601,1.7881,1.15415,1.83595,0.0097921,0.0097921,0.0097921
23,509.909,1.61258,1.09839,1.5864,0.89672,0.42506,0.53588,0.25496,1.85483,1.19343,1.88237,0.0097822,0.0097822,0.0097822
24,531.316,1.61467,1.10113,1.57397,0.63832,0.51858,0.53447,0.2638,1.85213,1.21829,1.90325,0.0097723,0.0097723,0.0097723
25,553.159,1.59407,1.07157,1.56466,0.71296,0.4988,0.53047,0.25674,1.81795,1.20701,1.8784,0.0097624,0.0097624,0.0097624
26,574.656,1.5819,1.07305,1.56082,0.59508,0.52538,0.50882,0.24577,1.82799,1.19329,1.87679,0.0097525,0.0097525,0.0097525
27,596.48,1.5847,1.05654,1.56732,0.78735,0.48289,0.54448,0.26253,1.7736,1.16653,1.81095,0.0097426,0.0097426,0.0097426
28,618.24,1.56999,1.05112,1.56077,0.70836,0.50683,0.55739,0.26184,1.83553,1.15897,1.89744,0.0097327,0.0097327,0.0097327
29,639.694,1.57557,1.04883,1.5527,0.50711,0.53304,0.54767,0.26908,1.78236,1.11249,1.8607,0.0097228,0.0097228,0.0097228
30,661.159,1.5717,1.04128,1.54924,0.61582,0.49872,0.54458,0.264,1.78386,1.14765,1.83817,0.0097129,0.0097129,0.0097129
31,682.897,1.56646,1.04778,1.56038,0.65937,0.52014,0.59561,0.27763,1.81382,1.1261,1.8873,0.009703,0.009703,0.009703
32,704.506,1.53251,1.00598,1.53156,0.68905,0.48704,0.53116,0.25598,1.79899,1.13642,1.85796,0.0096931,0.0096931,0.0096931
33,725.933,1.54269,1.00667,1.52184,0.63441,0.52116,0.55214,0.27471,1.74969,1.08928,1.83872,0.0096832,0.0096832,0.0096832
34,747.392,1.56709,1.03259,1.5626,0.67241,0.47636,0.53534,0.26386,1.77413,1.12749,1.8356,0.0096733,0.0096733,0.0096733
35,769.125,1.52065,0.99046,1.52403,0.71297,0.49172,0.53581,0.27055,1.78965,1.13817,1.85834,0.0096634,0.0096634,0.0096634
36,790.565,1.53208,1.00505,1.53346,0.74248,0.50543,0.57022,0.27961,1.79631,1.12645,1.85513,0.0096535,0.0096535,0.0096535
37,812.084,1.53613,0.99631,1.52155,0.64337,0.52455,0.54798,0.26427,1.81675,1.12348,1.87707,0.0096436,0.0096436,0.0096436
38,833.568,1.52648,0.97598,1.52462,0.79047,0.49614,0.56829,0.27333,1.78701,1.07078,1.85775,0.0096337,0.0096337,0.0096337
39,855.2,1.52342,0.97983,1.50662,0.70031,0.54269,0.57038,0.27981,1.78592,1.08577,1.84863,0.0096238,0.0096238,0.0096238
40,876.736,1.50933,0.9471,1.50838,0.79459,0.5167,0.59046,0.2873,1.80649,1.07015,1.87623,0.0096139,0.0096139,0.0096139
41,899.516,1.50665,0.95298,1.51042,0.66368,0.52093,0.55091,0.27113,1.79518,1.08707,1.88146,0.009604,0.009604,0.009604
42,921.975,1.50771,0.96468,1.50284,0.64391,0.53795,0.57461,0.27581,1.79799,1.09273,1.88515,0.0095941,0.0095941,0.0095941
43,943.627,1.48931,0.92831,1.50012,0.69265,0.51022,0.5563,0.27522,1.81218,1.08299,1.90223,0.0095842,0.0095842,0.0095842
44,965.015,1.48574,0.93277,1.50016,0.71201,0.54082,0.57445,0.2827,1.8,1.05343,1.87568,0.0095743,0.0095743,0.0095743
45,986.559,1.50615,0.94597,1.49464,0.70095,0.56739,0.59901,0.2886,1.80087,1.06804,1.8501,0.0095644,0.0095644,0.0095644
46,1008.45,1.48221,0.93214,1.49689,0.71475,0.51965,0.57228,0.27648,1.77107,1.04556,1.84718,0.0095545,0.0095545,0.0095545
47,1030.19,1.48266,0.93847,1.4943,0.70958,0.51487,0.55843,0.27314,1.82883,1.0573,1.89302,0.0095446,0.0095446,0.0095446
48,1051.71,1.48165,0.94026,1.49006,0.68291,0.52104,0.55922,0.26944,1.81741,1.09043,1.89137,0.0095347,0.0095347,0.0095347
49,1073.1,1.47462,0.92121,1.48738,0.57545,0.56501,0.57428,0.27178,1.80971,1.09423,1.90527,0.0095248,0.0095248,0.0095248
50,1094.81,1.46359,0.90531,1.46167,0.69155,0.53729,0.55847,0.27239,1.81688,1.0922,1.888,0.0095149,0.0095149,0.0095149
51,1116.83,1.48084,0.908,1.46948,0.55501,0.56129,0.57767,0.28484,1.7868,1.06523,1.87497,0.009505,0.009505,0.009505
52,1138.31,1.44903,0.88383,1.4585,0.65308,0.5439,0.56643,0.28488,1.78485,1.04733,1.86108,0.0094951,0.0094951,0.0094951
53,1159.73,1.47027,0.89606,1.47415,0.56688,0.546,0.56158,0.28078,1.77269,1.06414,1.84654,0.0094852,0.0094852,0.0094852
54,1181.33,1.4417,0.88487,1.47242,0.58072,0.52571,0.55928,0.27921,1.79044,1.04874,1.89858,0.0094753,0.0094753,0.0094753
55,1203.05,1.43021,0.8768,1.44083,0.68917,0.55035,0.58033,0.28439,1.78594,1.04047,1.86627,0.0094654,0.0094654,0.0094654
56,1224.48,1.42772,0.86292,1.46441,0.70889,0.53088,0.56019,0.27903,1.81497,1.05354,1.90718,0.0094555,0.0094555,0.0094555
57,1246.14,1.42663,0.85933,1.43598,0.57128,0.56431,0.57729,0.28089,1.79606,1.05342,1.88987,0.0094456,0.0094456,0.0094456
58,1267.62,1.42644,0.85915,1.45559,0.67663,0.5241,0.56358,0.27498,1.82339,1.04393,1.89736,0.0094357,0.0094357,0.0094357
59,1289.03,1.41745,0.85566,1.45402,0.58916,0.53322,0.55334,0.27107,1.83355,1.05822,1.92609,0.0094258,0.0094258,0.0094258
60,1311.13,1.42165,0.86917,1.45084,0.53453,0.58558,0.57962,0.28508,1.7828,1.05741,1.88395,0.0094159,0.0094159,0.0094159
61,1332.92,1.40435,0.84622,1.43841,0.58942,0.53213,0.56253,0.26828,1.83355,1.07136,1.93565,0.009406,0.009406,0.009406
62,1354.37,1.39174,0.84192,1.42993,0.60182,0.56781,0.54937,0.26234,1.83184,1.07527,1.90786,0.0093961,0.0093961,0.0093961
63,1376.12,1.39564,0.8203,1.4194,0.66103,0.54558,0.55932,0.27225,1.83526,1.04071,1.9257,0.0093862,0.0093862,0.0093862
64,1398.53,1.40286,0.84124,1.43511,0.65042,0.55026,0.55325,0.26968,1.83945,1.05436,1.91609,0.0093763,0.0093763,0.0093763
65,1421.13,1.39362,0.82693,1.43279,0.71099,0.51346,0.55652,0.2742,1.83129,1.08156,1.9287,0.0093664,0.0093664,0.0093664
